Nombre Fondo/Activo;Entidad;ISIN;Valor liquidativo;Cantidad;Participaciones;Fecha;Compra/Venta;Comentarios
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;9,978;160;16,035;45759;Buy;
Vanguard Emerging Markets Stock Index Fund EUR Acc;MyInvestor;IE0031786696;188,88;18,88;0,1;45759;Buy;
Physical Gold USD (Acc);Trade Republic;IE00B4ND3602;56,32;20;0,355113;45763;Buy;
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;10,16;170;16,732;45771;Buy;
Vanguard Emerging Markets Stock Index Fund EUR Acc;MyInvestor;IE0031786696;197,77;19,77;0,1;45771;Buy;
Physical Gold USD (Acc);Trade Republic;IE00B4ND3602;55,9;30;0,53672;45779;Buy;
Bitcoin (BTC);Kraken;N/A;88158,49;39,94;0,000453;45779;Buy;
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;10,664;170;15,941;45783;Buy;
Vanguard Emerging Markets Stock Index Fund EUR Acc;MyInvestor;IE0031786696;205,257;38,99;0,19;45784;Buy;
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;11,308;170;15,033;45794;Buy;
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;11,122;170;15,285;45808;Buy;
Physical Gold USD (Acc);Trade Republic;IE00B4ND3602;57,08;30;0,525624;45810;Buy;
Bitcoin (BTC);Trade Republic;N/A;95427,59;39,98;0,000419;45810;Buy;
Vanguard Emerging Markets Stock Index Fund EUR Acc;MyInvestor;IE0031786696;208,481;39,61;0,19;45812;Buy;
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;11,102;170;15,313;45825;Buy;
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;11,19;170;15,191;45836;Buy;
Physical Gold USD (Acc);Trade Republic;IE00B4ND3602;55,05;30;0,545008;45840;Buy;
Bitcoin (BTC);Trade Republic;N/A;93620,28;40;0,000427;45840;Buy;
Vanguard Emerging Markets Stock Index Fund EUR Acc;MyInvestor;IE0031786696;216,631;38,99;0,18;45842;Buy;
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;11,323;170;15,014;45850;Buy;
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;11,514;170;14,765;45864;Buy;
Physical Gold USD (Acc);Trade Republic;IE00B4ND3602;56,48;30;0,531208;45873;Buy;
Bitcoin (BTC);Trade Republic;N/A;101812,48;40;0,000392;45873;Buy;
Vanguard Emerging Markets Stock Index Fund EUR Acc;MyInvestor;IE0031786696;220,851;39,75;0,18;45874;Buy;
Fidelity MSCI World Index Fund P-ACC-EUR;MyInvestor;IE00BYX5NX33;11,584;170;14,674;45878;Buy;
Bitcoin (BTC);Trade Republic;N/A;103088,28;-173,32;0,001691;45883;Sell;1 EUR comision en la venta, y mucho spread
Bitcoin (BTC);Kraken;N/A;104001,1;175;0,00168267;45883;Buy;0,4375 comisión
